,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
39,"Groton, CT", 75 feet," $198,510 ",40.9 years, 3.19 ,34.8 years, 107.3 ," $57,687 "," 9,299 (100% urban, 0% rural). "," 2,915 "
40,"Guilford, CT", 20 feet," $392,246 ",39.2 years, 47.1 ,46.6 years, 143.2 ," $104,132 "," 22,375. ", 476 
41,"Haddam, CT", 89 feet," $324,238 ",39.2 years, 44.0 ,44.4 years, 129.9 ," $105,875 "," 8,346. ", 190 
42,"Hamden, CT", 101 feet," $229,902 ",39.2 years, 32.8 ,37.4 years, 139.5 ," $70,942 "," 60,960. "," 1,859 "
43,"Hartford, CT", 75 feet," $161,200 ",40.9 years, 17.3 ,31.0 years, 106.3 ," $36,637 "," 123,287"," 7,124 "
44,"Hebron, CT", 542 feet," $283,336 ",39.2 years, 36.9 ,41.8 years, 104.1 ," $103,399 "," 9,686. ", 262 
45,"Kensington, CT", 84 feet," $262,859 ",40.9 years, 5.26 ,46.4 years, 105.7 ," $91,350 "," 8,459. "," 1,607 "
46,Killingly,," $186,933 ",39.2 years, 48.5 ,39.8 years, 126.8 ," $56,107 "," 17,370. ", 358 
47,Killingworth, 374 feet," $415,436 ",39.2 years, 35.3 ,46.5 years, 136.6 ," $108,886 "," 6,525. ", 185 
48,"Lebanon, CT", 414 feet," $248,236 ",39.2 years, 54.1 ,42.7 years, 104.1 ," $85,394 "," 7,308. ", 135 
49,"Ledyard, CT",," $248,063 ",39.2 years, 38.1 ,40.6 years, 112.9 ," $87,452 "," 15,051. ", 395 
50,"Madison, CT", 22 feet," $440,405 ",39.2 years, 36.2 ,46.6 years, 143.9 ," $118,569 "," 18,269. ", 505 
51,"Manchester, CT", 272 feet," $205,610 ",39.2 years, 27.3 ,36.9 years, 111.4 ," $67,614 "," 58,241. "," 2,137 "
52,"Mansfield, CT", 460 feet," $240,295 ",39.2 years, 44.5 ,21.5 years, 111.9 ," $67,276 "," 26,543. ", 597 
53,"Marlborough, CT", 508 feet," $299,297 ",39.2 years, 23.3 ,43.0 years, 110.4 ," $109,801 "," 6,404. ", 275 
54,"Meriden, CT", 140 feet," $177,379 ",40.9 years, 23.7 ,41.1 years, 129.2 ," $58,612 "," 60,293 (99% urban, 1% rural). "," 2,539 "
55,"Middlebury, CT", 708 feet," $337,791 ",39.2 years, 17.8 ,43.9 years, 141.1 ," $95,494 "," 7,575. ", 427 
56,"Middletown, CT", 100 feet," $237,115 ",40.9 years, 40.9 ,37.1 years, 127.3 ," $63,750 "," 47,043 (96% urban, 4% rural). "," 1,150 "
57,"Milford, CT", 60 feet," $309,601 ",40.9 years, 22.3 ,44.1 years, 133.5 ," $86,495 "," 51,857 (100% urban, 0% rural). "," 2,327 "
58,"Monroe, CT", 645 feet," $404,682 ",39.2 years, 26.1 ,42.7 years, 144.1 ," $117,403 "," 19,479. ", 745 
59,"Montville, CT",," $215,496 ",39.2 years, 42.0 ,40.7 years, 111.9 ," $76,897 "," 19,571. ", 466 
60,Naugatuck, 475 feet," $181,438 ",40.9 years, 16.4 ,39.6 years, 128.6 ," $62,807 "," 31,659 (97% urban, 3% rural). "," 1,932 "
61,"New Britain, CT", 190 feet," $154,900 ",40.9 years, 13.3 ,36.0 years, 106.5 ," $41,128 "," 72,570"," 5,441 "
62,New Canaan, 250 feet," over $1,000,000 ",39.2 years, 22.1 ,43.0 years, 170.7 ," $195,840 "," 19,738. ", 892 
63,New Fairfield, 621 feet," $364,134 ",39.2 years, 20.5 ,42.4 years, 143.1 ," $116,540 "," 13,881. ", 678 
64,"New Hartford, CT", 450 feet," $274,486 ",39.2 years, 37.0 ,44.1 years, 127.6 ," $94,845 "," 6,970. ", 188 
65,"New Haven, CT", 75 feet," $191,000 ",40.9 years, 18.9 ,30.8 years, 133.3 ," $40,457 "," 129,939"," 6,893 "
66,"New London, CT", 103 feet," $184,281 ",40.9 years, 5.54 ,31.0 years, 109.2 ," $36,992 "," 27,374 (100% urban, 0% rural). "," 4,943 "
67,"New Milford, CT", 350 feet," $218,846 ",40.9 years, 3.39 ,40.8 years, 134.9 ," $59,807 "," 6,523. "," 1,923 "
68,"Newington, CT", 98 feet," $231,397 ",40.9 years, 13.2 ,44.9 years, 106.1 ," $81,975 "," 30,562. "," 2,319 "
69,North Branford, 120 feet," $300,013 ",39.2 years, 24.9 ,44.6 years, 141.6 ," $87,321 "," 14,407. ", 578 
70,"North Haven, CT", 41 feet," $299,860 ",40.9 years, 20.8 ,45.4 years, 130.8 ," $98,867 "," 24,093. "," 1,159 "
71,"Norwalk, CT", 45 feet," $436,600 ",40.9 years, 22.8 ,37.7 years, 137.7 ," $88,209 "," 88,440"," 3,878 "
72,"Norwich, CT", 100 feet," $169,951 ",40.9 years, 28.3 ,37.2 years, 107.2 ," $54,152 "," 40,178 (97% urban, 3% rural). "," 1,418 "
73,"Oakville, CT", 500 feet," $191,478 ",40.9 years, 3.16 ,45.4 years, 131.6 ," $69,483 "," 9,047. "," 2,862 "
74,Old Greenwich, 20 feet," $423,200
",40.9 years,,40.0 years, 138.1 ," $90,123"," 6,611.",
75,Old Lyme, 12 feet," $419,039 ",39.2 years, 23.1 ,48.8 years, 118.7 ," $95,463 "," 7,603. ", 329 
76,Old Saybrook, 16 feet," $348,930 ",39.2 years, 15.0 ,50.1 years, 140.8 ," $84,546 "," 10,242. ", 681 
77,"Orange, CT", 185 feet," $387,940 ",40.9 years, 17.2 ,45.5 years, 133.7 ," $112,351 "," 13,956. ", 812 
78,"Oxford, CT", 351 feet," $356,850 ",39.2 years, 32.9 ,43.4 years, 140.0 ," $104,515 "," 12,683. ", 386 
79,"Plainfield, CT", 203 feet," $183,823 ",39.2 years, 42.3 ,38.5 years, 126.4 ," $58,516 "," 15,405. ", 364 
80,"Plainville, CT", 191 feet," $206,613 ",39.2 years, 9.76 ,42.0 years, 110.6 ," $65,849 "," 17,716. "," 1,816 "
81,"Plymouth, CT", 725 feet," $190,940 ",39.2 years, 21.7 ,41.9 years, 142.8 ," $73,541 "," 12,243. ", 564 
