,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
158,"Somerville, MA", 12 feet," $670,300 ",39.5 years, 4.11 ,31.1 years, 146.1 ," $93,343 "," 81,324"," 19,805 "
159,South Hadley, 257 feet," $271,896 ",39.2 years, 17.7 ,40.6 years, 117.0 ," $65,164 "," 17,514. ", 989 
160,South Yarmouth, 20 feet," $300,236 ",39.5 years, 7.00 ,51.7 years, 120.1 ," $55,759 "," 11,092. "," 1,584 "
161,Southborough, 306 feet," $613,539 ",39.2 years, 14.1 ,41.7 years, 142.2 ," $149,067 "," 9,767. ", 690 
162,Southbridge Town,," $269,700
",39.5 years,,38.7 years, 125.9 ," $69,295"," 16,825 (89% urban, 11% rural).",
163,Southbridge, 489 feet," $202,748 ",36.5 years, 5.25 ,34.7 years, 137.0 ," $45,949 "," 13,619."," 2,594 "
164,Southwick, 244 feet," $250,603 ",39.2 years, 31.0 ,43.6 years, 128.4 ," $67,867 "," 9,502. ", 307 
165,"Springfield, MA", 70 feet," $154,300 ",39.5 years, 32.1 ,33.9 years, 120.2 ," $38,897 "," 154,079"," 4,800 "
166,"Sterling, MA", 502 feet," $369,939 ",39.2 years, 30.5 ,44.0 years, 133.0 ," $97,251 "," 7,808. ", 256 
167,"Stoneham, MA", 155 feet," $469,989 ",39.5 years, 6.15 ,44.9 years, 137.7 ," $89,647 "," 21,437. "," 3,487 "
168,"Stoughton, MA", 236 feet," $339,839 ",39.2 years, 16.0 ,42.9 years, 143.4 ," $84,521 "," 26,962. "," 1,681 "
169,"Stow, MA", 231 feet," $579,682 ",39.2 years, 17.6 ,43.5 years, 145.6 ," $150,795 "," 6,590. ", 374 
170,"Sudbury, MA", 190 feet," $826,833 ",39.2 years, 24.4 ,42.5 years, 150.3 ," $185,701 "," 17,659. ", 725 
171,"Sutton, MA", 706 feet," $350,270 ",39.2 years, 32.4 ,42.5 years, 134.6 ," $108,762 "," 8,963. ", 277 
172,Swampscott, 45 feet," $474,822 ",39.5 years, 3.05 ,45.1 years, 136.5 ," $107,635 "," 13,787. "," 4,521 "
173,"Swansea, MA", 22 feet," $277,848 ",39.2 years, 23.1 ,44.3 years, 138.5 ," $79,732 "," 15,865. ", 688 
174,"Taunton, MA", 30 feet," $251,575 ",39.5 years, 46.6 ,41.0 years, 131.4 ," $60,956 "," 56,544 (95% urban, 5% rural). "," 1,213 "
175,"Templeton, MA", 1141 feet," $216,554 ",39.2 years, 32.0 ,41.6 years, 132.6 ," $70,175 "," 8,013. ", 250 
